SourceSystem,FinalFinanceDestinations,TimeZone,SiteCode,ActionKey,StepKey,Enabled,ConType,ConnectionID,ConName,ConStr,dbName,CtrlMethod,EnrollCutoff,ContractDate,ClinicName,IsActive,IsNewSchema,SrcSchema,FromTblVw,DsnSchema,DsnTbl,WhereCondition,SortOrder,ReInitialize,SchemaVersion,CompKey,RowTrax
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B54,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-GadsdenV5;,SAMMS-GadsdenV5,Select,2018-06-01,NULL,Gadsden,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B54-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B55,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-ShoalsV5;,SAMMS-ShoalsV5,Select,2018-04-22,NULL,Shoals,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B55-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B57,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Pawtucket;,SAMMS-Pawtucket,Select,2020-09-04,NULL,Pawtucket,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B57-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B57A,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Johnston;,SAMMS-Johnston,Select,2021-10-04,NULL,Johnston,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B57A-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B57B,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Middletown;,SAMMS-Middletown,Select,2021-10-04,NULL,Middletown,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B57B-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B57C,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Providence;,SAMMS-Providence,Select,2021-10-04,NULL,Providence,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B57C-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B57D,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Westerly;,SAMMS-Westerly,Select,2021-10-04,NULL,Westerly,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B57D-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B66A,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Bremen;,SAMMS-Bremen,Select,NULL,NULL,Bremen,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B66A-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B72,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Mobile-OBOT;,SAMMS-Mobile-OBOT,Select,NULL,NULL,Mobile (OBOT),1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B72-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B73,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Montgomery;,SAMMS-Montgomery,Select,NULL,NULL,Montgomery,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B73-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B75,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-LawrenceV6;,SAMMS-LawrenceV6,Select,2021-11-09,NULL,Lawrence,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B75-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B76,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Huntsville-OBOT;,SAMMS-Huntsville-OBOT,Select,NULL,NULL,Huntsville OBOT,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B76-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,BAT,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Batesville;,SAMMS-Batesville,Select,NULL,NULL,Batesville,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,BAT-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,BG,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-BowlingGreen;,SAMMS-BowlingGreen,Select,NULL,NULL,Bowling Green,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,BG-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,MST,BOI,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Boise;,SAMMS-Boise,Select,NULL,NULL,Boise,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,BOI-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,MST,CBCO,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-CoeurdAleneV6;,SAMMS-CoeurdAleneV6,Select,NULL,NULL,Coeur d'Alene,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,CBCO-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,CON,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Conway;,SAMMS-Conway,Select,NULL,NULL,Conway,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,CON-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,D07,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-KnoxvilleV6;,SAMMS-KnoxvilleV6,Select,NULL,NULL,Medical Services Knox TN,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,D07-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,D08,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-MadisonV6;,SAMMS-MadisonV6,Select,NULL,NULL,Madison,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,D08-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,D09,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-MurfreesboroV6;,SAMMS-MurfreesboroV6,Select,NULL,NULL,Murfreesboro,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,D09-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,DA,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Davenport;,SAMMS-Davenport,Select,NULL,NULL,Davenport,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,DA-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,DM,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-DesMoines;,SAMMS-DesMoines,Select,NULL,NULL,Des Moines,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,DM-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,DRD-CO,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-ColumbiaV5;,SAMMS-ColumbiaV5,Select,NULL,NULL,Columbia MO,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,DRD-CO-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,DRD-KC,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-KCv5;,SAMMS-KCv5,Select,NULL,NULL,KC,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,DRD-KC-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,DRD-KVB,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-KVBv5;,SAMMS-KVBv5,Select,NULL,NULL,KVB,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,DRD-KVB-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,DRD-KVC,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-KVCv5;,SAMMS-KVCv5,Select,NULL,NULL,KVC,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,DRD-KVC-1-30,NULL
