SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,NumericPrecision,NumericScale,IsNullable,ColumnDefault
pats,tbl_Claims,f30balancedue,49,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f31date,50,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f31phys,51,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f32a,52,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f32b,53,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f32line1,54,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f32line2,55,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f32line3,56,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f32line4,57,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f33a,58,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f33b,59,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f33line1,60,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f33line2,61,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f33line3,62,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f33line4,63,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f33phone,64,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f3dob,65,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f4insname,66,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f5add,67,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f5city,68,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f5phone,69,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f5state,70,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f5zip,71,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f6insrel,72,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f7insadd,73,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f7inscity,74,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f7insphone,75,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f7insstate,76,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f7inszip,77,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f8stat,78,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f9othinsdob,79,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f9othinsemp,80,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f9othinsname,81,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f9othinsnumber,82,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f9othinsplan,83,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f9othinssex,84,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcCreatedDate,85,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcEncounter,86,nchar,10,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcREBILLREASON,87,varchar,500,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcStrWeek,88,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcWKSTART,89,date,NULL,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcPayerCIN,90,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcSrvType,91,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f3sex,92,varchar,10,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcClaimType,93,int,NULL,10,0,YES,NULL
pats,tbl_Claims,SiteID,94,int,NULL,10,0,YES,NULL
pats,tbl_Claims,tpcDBnotes,95,varchar,1000,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcReferring,96,varchar,10,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,SiteCode,1,varchar,50,NULL,NULL,NO,NULL
pats,tbl_EandMFormMDM,Id,2,int,NULL,10,0,NO,NULL
pats,tbl_EandMFormMDM,PreAdmissionId,3,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormMDM,ClientId,4,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormMDM,DataFormId,5,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormMDM,CreatedOn,6,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,CreatedBy,7,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,ModifiedOn,8,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,ModifiedBy,9,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,Isdeleted,10,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,FormDate,11,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,ServiceId,12,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormMDM,Context,13,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,Version,14,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,MEdicalProviderSignatureDate,15,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormMDM,MEdicalProviderSignatureBy,16,nvarchar,200,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,SiteCode,1,varchar,50,NULL,NULL,NO,NULL
pats,tbl_EandMFormPregnancy,EandMFormId,2,int,NULL,10,0,NO,NULL
pats,tbl_EandMFormPregnancy,PreAdmissionId,3,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormPregnancy,ClientId,4,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormPregnancy,DataFormId,5,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormPregnancy,CreatedOn,6,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,CreatedBy,7,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,ModifiedOn,8,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,ModifiedBy,9,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,Isdeleted,10,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,FormDate,11,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,ServiceId,12,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormPregnancy,Context,13,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,Version,14,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,DDLTrimester,15,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormPregnancy,DoseTxt,16,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,MgTxt,17,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,DoseStabilityTxt,18,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,SignsTxt,19,nvarchar,-1,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,Bleeding,20,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,Contraction,21,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,NauseaVomiting,22,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,PregnancyOtherTxt,23,nvarchar,256,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,MedicationsTxt,24,nvarchar,-1,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,PrenatalVitaminsTxt,25,nvarchar,-1,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,AllergiesTxt,26,nvarchar,-1,NULL,NULL,YES,NULL
