SourceSystem	SchemaName	TableName	ColumnName	OrdinalPosition	DataType	MaxLength	NumericPrecision	NumericScale	IsNullable
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckPeopleWork	95	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckEveryone	96	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckGamblingDisorder	97	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckFoodOvereating	98	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckEatingDisorders	99	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckInternetAddiction	100	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckSocialMediaAddiction	101	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckLoveIntimacyDependence	102	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckFamilyDisorder	103	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckFriendsYourselfRecovery	104	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckCoworkers	105	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckMeetings	106	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckOnline	107	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsDeleted	108	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	HowLongHadCurrentJob	109	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsFullTimeStudent	110	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsPartTimeStudent	111	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	Version	112	nvarchar	25	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	ThoseWhoAreNotcisgender	113	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CulturalPreferencesForYourTreatment	114	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	FamilyStruggledWithDrugAlcoholProblems	115	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	ExperiencedAnytraumaAbuseNeglect	116	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	PhysicalAbuseViolenceCaptivityOther	117	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	VerbalEmotionalFinancialAbuse	118	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	NeglectTraumaRelatedYourRace	119	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	SexualAbuseAssaultSexualExploitation	120	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CurrentlyExperiencingAbuseNglectExploitation	121	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	AnyDifficultyCopingWithTrauma	122	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	HaveYouEverReceivedServices	123	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	ProbationorParole	124	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	SocialHistoryProblemsWithOther	125	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	FindSupportYourselfInRecoveryOther	126	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceWhite	127	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceBlack	128	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceAmericanIndian	129	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceAsian	130	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceNativeHawaiian	131	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceTwoorMore	132	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceOther	133	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	RaceOtherTxt	134	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	Hispanic	135	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	NonHispanic	136	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	DDLTermsofGender	137	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	ObsevationofOthers	138	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	AffectedYourEmployment	139	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	PhysicalAbuse	140	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	SexualAbuse	141	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	VerbalAbuse	142	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	Neglect	143	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	Captivity	144	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	SexualExploitation	145	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	LaborExploitation	146	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	TraumaRelatedtoRace	147	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	TraumaOther	148	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	SupportiveSexualOrientaion	149	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	NotSupportiveSexualOrientaion	150	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	SubstancesAffectedYourLife	151	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	AlwaysFollowsSaferSexPracices	152	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	HaveHighSchoolDiploma	153	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	SiteCode	1	varchar	50	NULL	NULL	NO
BHG_DR	pats	tbl_EandMFormPregnancy	EandMFormId	2	int	NULL	10	NULL	NO
BHG_DR	pats	tbl_EandMFormPregnancy	PreAdmissionId	3	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	ClientId	4	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	DataFormId	5	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	CreatedOn	6	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	CreatedBy	7	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	ModifiedOn	8	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	ModifiedBy	9	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	Isdeleted	10	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	FormDate	11	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	ServiceId	12	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	Context	13	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	Version	14	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	DDLTrimester	15	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	DoseTxt	16	nvarchar	50	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	MgTxt	17	nvarchar	50	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	DoseStabilityTxt	18	nvarchar	50	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	SignsTxt	19	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	Bleeding	20	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	Contraction	21	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	NauseaVomiting	22	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	PregnancyOtherTxt	23	nvarchar	256	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	MedicationsTxt	24	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	PrenatalVitaminsTxt	25	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	AllergiesTxt	26	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	ChangesInRoutineTxt	27	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	UDSRadioBtn	28	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	SmokerRadioBtn	29	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	IllicitDrugTxt	30	nvarchar	256	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	NoOfPregnanciesTxt	31	nvarchar	50	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	DeliveriesTxt	32	nvarchar	50	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	DateOfLastOB	33	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	NameofOBTxt	34	nvarchar	50	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	PregnancyCommentsTxt	35	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	WTTxt	36	varchar	50	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	GravidaTxt	37	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	ParaTxt	38	nvarchar	-1	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	Provider	39	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	PrenatalCare	40	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	ReviewedandAcknowledged	41	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	NAPregnancyGrid	42	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormPregnancy	LastModAt	43	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	SiteCode	1	varchar	50	NULL	NULL	NO
BHG_DR	pats	tbl_EandMFormMDM	Id	2	int	NULL	10	NULL	NO
BHG_DR	pats	tbl_EandMFormMDM	PreAdmissionId	3	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	ClientId	4	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	DataFormId	5	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	CreatedOn	6	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	CreatedBy	7	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	ModifiedOn	8	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	ModifiedBy	9	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	Isdeleted	10	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	FormDate	11	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	ServiceId	12	int	NULL	10	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	Context	13	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	Version	14	nvarchar	128	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	MEdicalProviderSignatureDate	15	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_EandMFormMDM	MEdicalProviderSignatureBy	16	nvarchar	200	NULL	NULL	YES
BHG_DR	pats	tbl_SF_DataForms	SiteCode	1	varchar	25	NULL	NULL	NO
BHG_DR	pats	tbl_SF_DataForms	Id	2	int	NULL	10	NULL	NO
BHG_DR	pats	tbl_SF_DataForms	FormName	3	nvarchar	-1	NULL	NULL	NO
BHG_DR	pats	tbl_SF_DataForms	FormURL	4	nvarchar	-1	NULL	NULL	NO
BHG_DR	pats	tbl_SF_DataForms	PatientId	5	int	NULL	10	NULL	NO
BHG_DR	pats	tbl_SF_DataForms	IsDeleted	6	bit	NULL	NULL	NULL	NO
BHG_DR	pats	tbl_SF_DataForms	CreatedBy	7	nvarchar	-1	NULL	NULL	NO
BHG_DR	pats	tbl_SF_DataForms	CreatedOn	8	datetime	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_SF_DataForms	LastUpdatedBy	9	nvarchar	-1	NULL	NULL	NO
