TaskConfigId	ConfigId	TaskName	Endpoint	Method	SourceTable	PaginationEnabled	PaginationParam	LoadType	IsIncremental	WatermarkColumn	LookbackDays	TargetSchema	TargetTable	TargetPath	ExecutionOrder	RetryCount	TimeoutSeconds	RequestBody	DependencyTaskConfigId	IsActive	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy	AuthType	SiteCode	DataBaseName	SiteName	ScheduleFrequency	ScheduleExpression	LastRunDate
12655	123	Assessments Bronze - SavePA - DRD-KVB	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DRD-KVB	SAMMS-KVBv5	KVB	NULL	NULL	NULL
12656	123	Assessments Bronze - SavePA - DRD-KVC	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DRD-KVC	SAMMS-KVCv5	KVC	NULL	NULL	NULL
12657	123	Assessments Bronze - SavePA - DRD-NOLA	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DRD-NOLA	SAMMS-NOLAv5	NOLA	NULL	NULL	NULL
12658	123	Assessments Bronze - SavePA - DRD-SF	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DRD-SF	SAMMS-SFv5	SF	NULL	NULL	NULL
12659	123	Assessments Bronze - SavePA - ELC	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	ELC	SAMMS-ElizabethCity	ElizabethCity	NULL	NULL	NULL
12660	123	Assessments Bronze - SavePA - ET	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	ET	SAMMS-Elizabethtown	Elizabethtown	NULL	NULL	NULL
12661	123	Assessments Bronze - SavePA - FAY	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	FAY	SAMMS-Fayetteville	Fayetteville	NULL	NULL	NULL
12662	123	Assessments Bronze - SavePA - FR	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	FR	SAMMS-Frankfort	Frankfort	NULL	NULL	NULL
12663	123	Assessments Bronze - SavePA - FS	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	FS	SAMMS-FortSmith	FortSmith	NULL	NULL	NULL
12664	123	Assessments Bronze - SavePA - FW	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	FW	SAMMS-FortWayne	FortWayne	NULL	NULL	NULL
