ConfigId	ConfigName	PipelineName	PipelinePath	TransformationModule	SourceSystem	SourceType	TargetName	EnvironmentName	PipelineDependency	ExecutionSequence	TriggerType	TriggerFrequency	TriggeredBy	IsActive	ConnectionConfig	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy
18	SAMMS Orders Bronze	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	SAMMS	DATA BASE	BR	DEV	NULL	1	SCHEDULE	DAILY	Fabric	1	{"TargetTable":"bhg_bronze.order.brz_Orders"}	2026-06-08 22:13:42.505611	Joel	2026-08-03 10:34:19.311986	Joel
20	SAMMS Orders Gold	pl_SaveOrders	/pipelines/pl_SaveOrders	Versioned Gold Publish	Silver	DATA BASE	GL	DEV	nb_SaveOrders_brz_to_sl	3	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_silver.pats.slv_Orders","TargetTable":"bhg_gold.pats.Orders","LoadType":"Versioned Gold Load","Rollback":"Enabled"}	2026-06-08 22:14:43.944467	Joel	2026-08-03 10:34:19.311986	Joel
19	SAMMS Orders Silver	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	Bronze	DATA BASE	SL	DEV	nb_SaveOrders_src_to_brz	2	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_bronze.order.brz_Orders","TargetTable":"bhg_silver.pats.slv_Orders","LoadType":"Incremental"}	2026-06-08 22:14:08.636166	Joel	2026-08-03 10:34:19.311986	Joel





taskconfig


TaskConfigId	ConfigId	TaskName	Endpoint	Method	SourceTable	PaginationEnabled	PaginationParam	LoadType	IsIncremental	WatermarkColumn	LookbackDays	TargetSchema	TargetTable	TargetPath	ExecutionOrder	RetryCount	TimeoutSeconds	RequestBody	DependencyTaskConfigId	IsActive	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy	AuthType	SiteCode	DataBaseName	SiteName
51041	18	Orders Bronze - B73	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B73	SAMMS-Montgomery	Montgomery
51042	18	Orders Bronze - B75	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B75	SAMMS-LawrenceV6	Lawrence
51043	18	Orders Bronze - B76	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B76	SAMMS-Huntsville-OBOT	Huntsville-OBOT
51044	18	Orders Bronze - BAT	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	BAT	SAMMS-Batesville	Batesville
51045	18	Orders Bronze - BG	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	BG	SAMMS-BowlingGreen	BowlingGreen
51046	18	Orders Bronze - BOI	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	BOI	SAMMS-Boise	Boise
51047	18	Orders Bronze - CBCO	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	CBCO	SAMMS-CoeurdAleneV6	CoeurdAlene
51048	18	Orders Bronze - CON	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	CON	SAMMS-Conway	Conway
51049	18	Orders Bronze - D07	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	D07	SAMMS-KnoxvilleV6	Knoxville
51050	18	Orders Bronze - D08	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	D08	SAMMS-MadisonV6	Madison
